"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"DRM00078486","SANTO DOMINGO, DR","2023-01-01","0.00","78","90","73"
"DRM00078486","SANTO DOMINGO, DR","2023-01-02","0.09","75","90","73"
"DRM00078486","SANTO DOMINGO, DR","2023-01-03","0.04","80","90","72"
"DRM00078486","SANTO DOMINGO, DR","2023-01-04","0.00","76","89","70"
"DRM00078486","SANTO DOMINGO, DR","2023-01-05",,"78","89","70"
"DRM00078486","SANTO DOMINGO, DR","2023-01-06",,"78","90","72"
"DRM00078486","SANTO DOMINGO, DR","2023-01-07",,"77","89","72"
"DRM00078486","SANTO DOMINGO, DR","2023-01-08","0.45","75","90","72"
"DRM00078486","SANTO DOMINGO, DR","2023-01-09","0.41","76","90","72"
"DRM00078486","SANTO DOMINGO, DR","2023-01-10","0.04","78",,
"DRM00078486","SANTO DOMINGO, DR","2023-01-11","0.00","78","88","73"
"DRM00078486","SANTO DOMINGO, DR","2023-01-12","0.02","78",,
"DRM00078486","SANTO DOMINGO, DR","2023-01-13","0.13","76","89","73"
"DRM00078486","SANTO DOMINGO, DR","2023-01-14","0.26","76","88","72"
"DRM00078486","SANTO DOMINGO, DR","2023-01-15","0.00","76",,
"DRM00078486","SANTO DOMINGO, DR","2023-01-17",,"71","87","66"
"DRM00078486","SANTO DOMINGO, DR","2023-01-18",,"74","87","65"
"DRM00078486","SANTO DOMINGO, DR","2023-01-19",,"75",,
"DRM00078486","SANTO DOMINGO, DR","2023-01-20",,"77","90","68"
"DRM00078486","SANTO DOMINGO, DR","2023-01-21",,"76","90","70"
"DRM00078486","SANTO DOMINGO, DR","2023-01-22",,"76","89","70"
"DRM00078486","SANTO DOMINGO, DR","2023-01-23",,"78","90","70"
"DRM00078486","SANTO DOMINGO, DR","2023-01-24",,"79",,
"DRM00078486","SANTO DOMINGO, DR","2023-01-25",,"79","90","71"
"DRM00078486","SANTO DOMINGO, DR","2023-01-26",,"78","90","71"
"DRM00078486","SANTO DOMINGO, DR","2023-01-27",,"77","89","72"
"DRM00078486","SANTO DOMINGO, DR","2023-01-28",,"76",,
"DRM00078486","SANTO DOMINGO, DR","2023-01-29","0.00","75","87","71"
"DRM00078486","SANTO DOMINGO, DR","2023-01-30","0.02","76","91","70"
"DRM00078486","SANTO DOMINGO, DR","2023-01-31","0.05","77","91","70"
"DRM00078486","SANTO DOMINGO, DR","2023-02-01","0.00","77","90","70"
"DRM00078486","SANTO DOMINGO, DR","2023-02-02","0.02","74","88","70"
"DRM00078486","SANTO DOMINGO, DR","2023-02-03","0.09","78","90","71"
"DRM00078486","SANTO DOMINGO, DR","2023-02-04","0.00","77","90","71"
"DRM00078486","SANTO DOMINGO, DR","2023-02-05",,"77","90","71"
"DRM00078486","SANTO DOMINGO, DR","2023-02-06",,"76",,
"DRM00078486","SANTO DOMINGO, DR","2023-02-07",,"81","90","72"
"DRM00078486","SANTO DOMINGO, DR","2023-02-08","0.00","75","90","72"
"DRM00078486","SANTO DOMINGO, DR","2023-02-09","0.00","77",,
"DRM00078486","SANTO DOMINGO, DR","2023-02-10","0.01","77","90","71"
"DRM00078486","SANTO DOMINGO, DR","2023-02-11","0.00","77","90","72"
"DRM00078486","SANTO DOMINGO, DR","2023-02-12",,"79","91","72"
"DRM00078486","SANTO DOMINGO, DR","2023-02-13",,"78","89","70"
"DRM00078486","SANTO DOMINGO, DR","2023-02-14",,"78","90","70"
