latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-7.32119,-44.95908,317.18,2.82,1.6,2024-06-27,0020,T,95,6.1NRT,293.63,65.02,N
-7.32419,-44.9836,305.13,2.83,1.61,2024-06-27,0020,T,63,6.1NRT,293.44,24.44,N
-7.31718,-44.9649,315.1,2.82,1.6,2024-06-27,0020,T,91,6.1NRT,293.46,55.66,N
-7.20611,-44.87964,311.34,2.76,1.59,2024-06-27,0020,T,82,6.1NRT,294.19,41.57,N
-7.20906,-44.90389,304.05,2.78,1.59,2024-06-27,0020,T,57,6.1NRT,293.8,19.92,N
-7.19203,-44.88129,337.84,2.76,1.59,2024-06-27,0020,T,100,6.1NRT,295.62,170.15,N
-7.20149,-44.88655,321.65,2.76,1.59,2024-06-27,0020,T,100,6.1NRT,294.75,81.2,N
-7.18434,-44.86412,318.07,2.75,1.59,2024-06-27,0020,T,96,6.1NRT,294.78,64.35,N
-7.1874,-44.88809,328.52,2.76,1.59,2024-06-27,0020,T,100,6.1NRT,294.78,113.32,N
-6.45922,-44.19793,307.59,2.37,1.49,2024-06-27,0020,T,72,6.1NRT,292.65,25.77,N
-5.37339,-37.34832,313.02,1,1,2024-06-27,0020,T,86,6.1NRT,294.28,10.07,N
-5.36453,-37.34958,304.68,1,1,2024-06-27,0020,T,61,6.1NRT,293.85,4.5,N
-5.5806,-43.27459,310.99,1.93,1.36,2024-06-27,0020,T,81,6.1NRT,292.9,24.93,N
-5.50298,-43.0487,309.38,1.85,1.33,2024-06-27,0020,T,77,6.1NRT,293.75,19.58,N
-5.50504,-43.06479,304.02,1.86,1.33,2024-06-27,0020,T,58,6.1NRT,293.56,11.22,N
-5.50783,-43.05413,313,1.85,1.33,2024-06-27,0020,T,86,6.1NRT,294.11,26.54,N
-5.88972,-48.10715,315.62,4.79,2,2024-06-27,0020,T,92,6.1NRT,293.39,115.13,N
-5.86712,-48.06797,308.88,4.75,1.99,2024-06-27,0020,T,71,6.1NRT,292.98,67.67,N
-5.87212,-48.10957,352.98,4.79,2,2024-06-27,0020,T,100,6.1NRT,294.65,643.54,N
-5.88945,-48.11228,315.95,4.79,2,2024-06-27,0020,T,92,6.1NRT,293.31,124.95,N
-5.86657,-48.0731,318.25,4.75,1.99,2024-06-27,0020,T,96,6.1NRT,293.22,142.41,N
